"name","st_x","st_y","limit"
MARTELL 1103,-120.77028,38.34475003,1695
PINECREST 0401,-119.97008,38.19704003,53
RIVERBANK 1711,-120.84935,37.75458996,1537
WEST POINT 1101,-120.48583,38.51018002,594
WEST POINT 1102,-120.42963,38.33543,789
NORTH BRANCH 1101,-120.70446,38.21068996,1329
TAR FLAT 0401,-120.3793,37.98990004,131
TAR FLAT 0402,-120.38481,37.99032003,191
CLAY 1101,-120.86672,38.37644004,1430
CLAY 1102,-120.94699,38.33383998,71
CLAY 1103,-120.8282399,38.29995996,1563
CURTIS 1701,-120.3276299,37.97553003,2883
CURTIS 1702,-120.2286999,37.95236002,2144
CURTIS 1703,-119.8594401,37.79754002,2755
CURTIS 1704,-120.30124,37.99669001,1865
CURTIS 1705,-120.2260299,37.98901002,1901
FROGTOWN 1701,-120.40854,38.13715002,1234
FROGTOWN 1702,-120.37632,38.13362999,2202
OLETA 1101,-120.80856,38.39556999,1360
OLETA 1102,-120.68908,38.52712998,736
ALPINE 1101,-120.04701,38.46577997,42
ALPINE 1102,-120.04617,38.46301999,55
MIWUK SUB 1701,-120.0856499,38.14658996,720
MIWUK SUB 1702,-120.20884,38.06229003,1042
LOCKEFORD SUB 2102,-120.99653,38.20468995,2472
SALT SPRINGS 2101,-119.9987601,38.48099004,308
SALT SPRINGS 2102,-120.14046,38.41030997,417
COTTLE 1701,-120.6743901,37.80052997,1856
COTTLE 1702,-120.78888,37.81645999,5276
COTTLE 1703,-120.43145,37.72406999,2694
COTTLE 1704,-120.82795,37.76450998,2842
PINE GROVE 1101,-120.66938,38.41340998,1584
PINE GROVE 1102,-120.5195,38.43895996,1997
RACETRACK SUB 1703,-120.38938,37.97974997,2642
RACETRACK SUB 1704,-120.41838,37.97796001,200
PEORIA FLAT 1701,-120.19069,37.85114,1185
PEORIA FLAT 1704,-120.44972,37.81306003,2350
PEORIA FLAT 1705,-120.38628,37.87407,1681
IONE 1101,-120.93359,38.37415997,1586
TRIDAM POWERHOUSE,-120.15032,38.18599,-1
TOKAY SUB 1101,-121.0345,38.25633999,0
WISHON 1101,-119.50131,37.13635998,0
AIRWAYS 1101,-119.65734,36.76184996,928
AIRWAYS 1102,-119.591,36.80437998,828
AIRWAYS 1103,-119.68212,36.76113004,1650
AIRWAYS 1105,-119.62798,36.78648003,912
AIRWAYS 1106,-119.70065,36.78664996,1426
ASHLAN AVENUE 1102,-119.80855,36.76489999,1005
ASHLAN AVENUE 1103,-119.79187,36.79989997,580
ASHLAN AVENUE 1104,-119.82708,36.76100998,1560
ASHLAN AVENUE 1106,-119.83002,36.7644,1361
ASHLAN AVENUE 1107,-119.81753,36.79109999,1006
ASHLAN AVENUE 1108,-119.80356,36.74850998,1597
ASHLAN AVENUE 1109,-119.84454,36.76542001,1686
ASHLAN AVENUE 1111,-119.84335,36.79383003,1212
ASHLAN AVENUE 1112,-119.82672,36.78842996,1498
ASHLAN AVENUE 1113,-119.8691,36.79380999,1425
ASHLAN AVENUE 1114,-119.80955,36.78528003,1008
ASHLAN AVENUE 1116,-119.80835,36.7521,1246
ASHLAN AVENUE 2101,-119.83782,36.80999998,1116
ASHLAN AVENUE 2105,-119.80818,36.82896997,1689
ASHLAN AVENUE 2110,-119.84341,36.81536996,1362
ASHLAN AVENUE 2115,-119.80106,36.81645997,630
ASHLAN AVENUE 2117,-119.84742,36.79797999,1038
ASHLAN AVENUE 2118,-119.80924,36.80139999,1513
ASHLAN AVENUE 2119,-119.8087299,36.82153999,1917
SHEPHERD 2109,-119.69016,36.87315997,-1
SHEPHERD 2110,-119.69339,36.85962004,-1
SHEPHERD 2111,-119.66628,36.89490998,-1
SHEPHERD 2112,-119.68525,36.85934,-1
BEAR VALLEY 2101,-120.01156,37.48117003,477
BEAR VALLEY 2105,-120.04383,37.75077999,347
BIOLA 1101,-119.97173,36.81497002,1196
BIOLA 1102,-120.12443,36.79036996,313
BIOLA 1103,-120.10633,36.76427999,1106
BIOLA 1104,-119.92565,36.79320003,636
KINGSBURG 1102,-119.54772,36.51066997,2504
KINGSBURG 1108,-119.54784,36.52860999,1359
KINGSBURG 1110,-119.56922,36.44025004,1542
KINGSBURG 1111,-119.42537,36.45880002,-1
KINGSBURG 1112,-119.54911,36.51943001,1686
KINGSBURG 1113,-119.44023,36.42944996,1917
KINGSBURG 1114,-119.45894,36.45951004,1487
KINGSBURG 1116,-119.58794,36.48900002,1442
LIVINGSTON 1104,-120.66968,37.36032001,850
LIVINGSTON 1106,-120.67642,37.36994996,1231
CALIFORNIA AVE 1102,-119.76706,36.70969004,2537
CALIFORNIA AVE 1103,-119.7708499,36.71680996,1241
CALIFORNIA AVE 1104,-119.78486,36.72885998,1489
CALIFORNIA AVE 1106,-119.71132,36.71351996,2084
CALIFORNIA AVE 1108,-119.7414,36.71620002,2219
CALIFORNIA AVE 1110,-119.77054,36.7365,2291
CALIFORNIA AVE 1111,-119.77213,36.69035,2701
CALIFORNIA AVE 1112,-119.7784,36.73406003,1342
CALIFORNIA AVE 1113,-119.76947,36.73591001,2499
CALIFORNIA AVE 1114,-119.74319,36.73837998,2307
CALIFORNIA AVE 1116,-119.7310699,36.73532,2185
CALIFORNIA AVE 1117,-119.78312,36.73565002,1000
PARLIER 1102,-119.4888,36.6333,1525
PARLIER 1103,-119.51075,36.53954002,1599
PARLIER 1104,-119.4887699,36.54645002,2251
PARLIER 1105,-119.50995,36.62080002,-1
CAMDEN 1102,-119.78916,36.43106003,1360
CAMDEN 1103,-119.67102,36.44564999,2782
CAMDEN 1104,-119.80049,36.43825999,1611
CAMDEN 1105,-119.7236901,36.48952002,1303
MENDOTA 1101,-120.4489,36.74883001,439
MENDOTA 1102,-120.28827,36.73347004,1163
MENDOTA 1103,-120.37936,36.76410004,922
MENDOTA 1104,-120.40601,36.66190003,768
REEDLEY 1101,-119.3722999,36.55993999,1192
REEDLEY 1104,-119.25028,36.60888,1072
REEDLEY 1106,-119.30909,36.66074002,1037
REEDLEY 1110,-119.33913,36.54405,1696
REEDLEY 1112,-119.27941,36.65975998,959
SANGER 1104,-119.55714,36.70882004,1288
SANGER 1106,-119.57015,36.70661001,1229
SANGER 1108,-119.52938,36.77978996,1103
SANGER 1110,-119.50247,36.66992003,1083
SANGER 1112,-119.62836,36.67764996,279
SANGER 1114,-119.5856101,36.77933002,828
SANGER 1116,-119.55152,36.68128998,1359
SANGER 1118,-119.62749,36.71405001,771
SAN JOAQUIN 1106,-120.07544,36.58121999,1150
SAN JOAQUIN 1108,-120.1903001,36.60356004,295
SAN JOAQUIN 1112,-120.17028,36.64313004,886
CARUTHERS 1101,-119.77334,36.52173001,803
CARUTHERS 1102,-119.8276999,36.53840001,860
CARUTHERS 1104,-119.80885,36.54296998,820
CARUTHERS 1105,-119.87029,36.49620002,733
COPPERMINE 1104,-119.45247,36.87693003,770
COPPERMINE 1106,-119.66792,36.89136002,771
COPPERMINE 1112,-119.66783,36.90813998,26
COPPERMINE 2110,-119.66482,36.89622996,-1
DAIRYLAND 1102,-120.32268,37.05406996,521
DAIRYLAND 1103,-120.31668,37.05497001,-1
DAIRYLAND 1105,-120.3293899,37.01085004,849
DAIRYLAND 1109,-120.16854,37.04014004,1131
DAIRYLAND 1112,-120.32977,37.03936001,718
DAIRYLAND 1113,-120.11039,37.06067001,1432
EL NIDO 1101,-120.36514,37.16980999,788
EL NIDO 1102,-120.45026,37.05436002,595
EL NIDO 1103,-120.48386,37.11295002,744
EL NIDO 1104,-120.47288,37.13465,938
BALCH NO 1 1101,-119.01806,36.93422,34
SAN JOAQUIN PH NO 2 1103,-119.4909199,37.20235998,505
SAN JOAQUIN PH NO 3 1101,-119.48894,37.34631996,527
SAN JOAQUIN PH NO 3 1102,-119.51967,37.25407003,26
SAN JPAQUIN PH NO 3 1103,-119.45059,37.23295996,248
KERCKHOFF 1101,-119.4912101,37.08794001,210
INDIAN FLAT 1104,-119.66593,37.66180998,405
KEARNEY 1104,-119.81195,36.66311001,732
KEARNEY 1106,-119.88025,36.66940996,1070
KEARNEY 1110,-119.86672,36.72823997,1390
KEARNEY 1113,-119.88046,36.70607999,0
KEARNEY 1114,-119.86271,36.71373002,876
KERMAN 1101,-119.89411,36.73545003,403
KERMAN 1102,-120.06963,36.70551999,1758
KERMAN 1103,-119.98049,36.77881,1950
KERMAN 1104,-120.07034,36.69052,926
KERMAN 1106,-120.02542,36.64132999,2688
KERMAN 1108,-119.98471,36.76408,1527
MADERA 1102,-120.05583,36.92336003,-1
MADERA 1104,-120.06528,36.92740998,2136
MADERA 1106,-120.03901,36.93827003,1505
MADERA 1112,-120.05596,36.92380003,1389
MADERA 1114,-120.0506101,36.95416004,1268
MADERA 1116,-120.04494,36.92942001,716
MADERA 1118,-120.0648,36.93842,1700
MADERA 1119,-120.00933,36.84011998,936
MERCED 1108,-120.49008,37.27364999,1156
MERCED 1114,-120.40988,37.2116,1156
MERCED 1116,-120.34886,37.24298003,1579
MERCED 2101,-120.42686,37.30049001,1984
MERCED 2102,-120.44965,37.30055999,2282
MERCED FALLS 1102,-120.29267,37.53625003,1222
OROSI 1101,-119.22257,36.53509996,1233
OROSI 1102,-119.16262,36.57924998,129
OROSI 1103,-119.2316,36.58191004,302
OROSI 1104,-119.25836,36.53719004,1029
PINEDALE 2101,-119.71827,36.83750003,2461
PINEDALE 2102,-119.75004,36.85408998,1679
PINEDALE 2103,-119.81031,36.84182998,1557
PINEDALE 2105,-119.75048,36.83551999,2088
PINEDALE 2106,-119.74789,36.83974002,2355
PINEDALE 2107,-119.7823101,36.83758998,2595
PINEDALE 2109,-119.78873,36.83022001,2765
PINEDALE 2110,-119.7774,36.85202001,2134
PINEDALE 2111,-119.77108,36.85585003,1689
SCHINDLER 1104,-120.12132,36.44474003,-1
SCHINDLER 1107,-120.13322,36.40023003,0
SCHINDLER 1108,-120.10919,36.40035001,0
SCHINDLER 1109,-120.12136,36.40011999,0
SCHINDLER 1110,-119.96804,36.40423002,-1
SCHINDLER 1111,-120.11973,36.42924001,-1
SCHINDLER 1112,-120.01308,36.48808998,-1
SCHINDLER 1116,-120.00862,36.49525004,0
STONE CORRAL 1108,-119.13057,36.51512003,873
STONE CORRAL 1109,-119.15476,36.42667,300
STONE CORRAL 1110,-119.09108,36.47908997,506
TIVY VALLEY 1106,-119.40737,36.76656,0
TIVY VALLEY 1107,-119.13519,36.71930004,873
GIFFEN 1102,-120.34314,36.53062004,467
GIFFEN 1103,-120.2437099,36.53079996,467
GIFFEN 1106,-120.31642,36.54460003,0
GIFFEN 1107,-120.31659,36.53059002,-1
HAMMONDS 1104,-120.48914,36.71981996,783
FIREBAUGH 1101,-120.3550699,36.78222997,723
FIREBAUGH 1102,-120.43077,36.85832998,2511
FIREBAUGH 1103,-120.45872,36.80284,800
BOWLES 1101,-119.68537,36.56182003,625
BOWLES 1102,-119.71105,36.57662,177
BOWLES 1103,-119.77271,36.61235997,622
BOWLES 1104,-119.78906,36.60535,243
SANTA RITA 1102,-120.58758,37.11728997,439
SANTA RITA 1105,-120.50132,37.05432001,443
BARTON 1101,-119.68973,36.77179999,1257
BARTON 1102,-119.71012,36.79801998,1366
