"RPT_YR","TPA","NO_TREE","FOR_TYP","Shap_Ar","CONBM_kgha","THA","QMDC_DOM","CONPL","Av_BA_TR","CONBA_kg_pol","Cent.x","Cent.y","est.tot.trees","est.tot.BM"
"2013","2","784","7101","1587351.06407047","97480.3718804311","704.537289903573","30.0550310344828","PIJE","522.99298817477","23781537.1582832","-1971042.97590129","1840093.23072349",111834.801680576,15473557.2030387
"2013","1","88","7101","357501.340715851","42315.2986396465","742.276821969697","20.7159642857143","PIAL","259.770440946141","320037.183245646","-1969634.02780732","1837884.63656542",26536.4959036468,1512777.59964652
"2013","1","249","7101","1007866.84625498","6967.17958767857","117.832876339286","25.5766047619048","PIAL","313.753645335398","1640617.8114588","-1968153.00569406","1838430.50494385",11875.9849461229,702198.931832566
"2013","1","320","7101","1295378.10460744","11213.0950265419","27.2472198891199","29.8978275","PIMO","805.81427366422","10314422.702902","-1967900.03068783","1835500.45644401",3529.54520557903,1452519.7782265
"2013","2","12","7101","24160.9055176402","21106.8628692308","153.990426923077","28.24222","PIMO3","524.659546039648","31479.5727623789","-1964021.28255958","1810504.54770331",372.054815550954,50996.0919557273
"2013","3","25","3020","33193.7726538641","5807.55648648649","92.7581054054054","12.31664","N/A","133.558476467624","16694.809558453","-1961491.63010507","1797591.71864132",307.899146263019,19277.4709686906
"2013","1","3","7101","11293.2043342591","59472.6968","2060.67566666667","37.22175","PICO","207.991441617084","2495.89729940501","-1960977.56130496","1812496.34050424",2327.16313703022,67163.7317271835
"2013","2","21","7101","41784.5963758271","86014.3375911111","1929.66098222222","26.307675","PIAL","368.177630529816","61853.841929009","-1960872.13032758","1813025.11471846",8063.01052843376,359407.437877871
"2013","2","114","7101","229819.38048284","46594.8704447059","376.692506666667","30.4483315789474","PICO","560.365315477757","1213751.27332482","-1961631.69029998","1813469.96074262",8657.12385146613,1070840.42592805
"2013","3","21","7101","28279.1952334246","0","0","0","N/A","0","0","-1963791.88319598","1816500.8141358",0,0
"2013","3","22","7101","29656.0221685862","0","0","0","N/A","0","0","-1964412.10022269","1816010.29301339",0,0
"2013","1","35","7133","140221.031608115","1967.89127179487","60.2663955128205","15.5485615384615","PIMO","115.122468234387","52380.7230466462","-1961573.08968818","1819358.05974658",845.061615011035,27593.9744223682
"2013","1","506","2108","2046945.25595888","201553.687025781","647.963020809503","46.1718621621622","PIJE","1309.89704810358","122619462.672976","-2020489.50176485","1820379.40452788",132634.48314828,41256936.3478443
